FLD_ZONE,LUCODE,popul_by_1,risk_group,Flow_Rate,Precipitation
X,15,3573,low,6610,2.19
X,195,3573,low,6610,2.19
X,215,3573,low,6610,2.19
X,55,3573,low,6610,2.19
X,135,3573,low,6610,2.19
X,175,3573,low,6610,2.19
X,188,5604,low,6610,2.19
X,268,5604,low,6610,2.19
X,128,5604,low,6610,2.19
X,148,5604,low,6610,2.19
X,248,5604,low,6610,2.19
X,68,5604,low,6610,2.19
X,228,5604,low,6610,2.19
X,168,5604,low,6610,2.19
X,8,5604,low,6610,2.19
X,208,5604,low,6610,2.19
X,88,5604,low,6610,2.19
X,108,5604,low,6610,2.19
X,288,5604,low,6610,2.19
X,308,5604,low,6610,2.19
X,48,5604,low,6610,2.19
X,328,5604,low,6610,2.19
X,348,5604,low,6610,2.19
X,28,5604,low,6610,2.19
X,281,1968,low,6610,2.19
X,161,1968,low,6610,2.19
X,261,1968,low,6610,2.19
X,301,1968,low,6610,2.19
X,201,1968,low,6610,2.19
X,81,1968,low,6610,2.19
X,41,1968,low,6610,2.19
X,121,1968,low,6610,2.19
X,61,1968,low,6610,2.19
X,21,1968,low,6610,2.19
X,321,1968,low,6610,2.19
X,1,1968,low,6610,2.19
X,221,1968,low,6610,2.19
X,101,1968,low,6610,2.19
X,181,1968,low,6610,2.19
X,141,1968,low,6610,2.19
X,341,1968,low,6610,2.19
X,241,1968,low,6610,2.19
X,337,6541,low,8970,2.43
X,257,6541,low,8970,2.43
X,177,6541,low,8970,2.43
X,217,6541,low,8970,2.43
X,277,6541,low,8970,2.43
X,197,6541,low,8970,2.43
X,297,6541,low,8970,2.43
X,77,6541,low,8970,2.43
X,17,6541,low,8970,2.43
X,357,6541,low,8970,2.43
X,37,6541,low,8970,2.43
X,57,6541,low,8970,2.43
X,97,6541,low,8970,2.43
X,157,6541,low,8970,2.43
X,117,6541,low,8970,2.43
X,137,6541,low,8970,2.43
X,317,6541,low,8970,2.43
X,237,6541,low,8970,2.43
X,179,4814,low,6610,2.19
X,359,4814,low,6610,2.19
X,59,4814,low,6610,2.19
X,259,4814,low,6610,2.19
X,299,4814,low,6610,2.19
X,319,4814,low,6610,2.19
X,99,4814,low,6610,2.19
X,139,4814,low,6610,2.19
X,219,4814,low,6610,2.19
X,199,4814,low,6610,2.19
X,159,4814,low,6610,2.19
X,79,4814,low,6610,2.19
X,119,4814,low,6610,2.19
X,339,4814,low,6610,2.19
X,279,4814,low,6610,2.19
X,39,4814,low,6610,2.19
X,239,4814,low,6610,2.19
X,19,4814,low,6610,2.19
AE,217,6541,high,8970,2.43
AE,357,6541,high,8970,2.43
AE,317,6541,high,8970,2.43
AE,137,6541,high,8970,2.43
AE,37,6541,high,8970,2.43
AE,157,6541,high,8970,2.43
AE,337,6541,high,8970,2.43
AE,77,6541,high,8970,2.43
AE,257,6541,high,8970,2.43
AE,57,6541,high,8970,2.43
AE,277,6541,high,8970,2.43
AE,297,6541,high,8970,2.43
AE,17,6541,high,8970,2.43
AE,237,6541,high,8970,2.43
AE,117,6541,high,8970,2.43
AE,177,6541,high,8970,2.43
AE,197,6541,high,8970,2.43
AE,97,6541,high,8970,2.43
X,296,3510,low,8970,2.43
X,216,3510,low,8970,2.43
X,256,3510,low,8970,2.43
X,336,3510,low,8970,2.43
X,36,3510,low,8970,2.43
X,356,3510,low,8970,2.43
X,276,3510,low,8970,2.43
X,56,3510,low,8970,2.43
X,156,3510,low,8970,2.43
X,76,3510,low,8970,2.43
X,16,3510,low,8970,2.43
X,196,3510,low,8970,2.43
X,96,3510,low,8970,2.43
X,116,3510,low,8970,2.43
X,236,3510,low,8970,2.43
X,176,3510,low,8970,2.43
X,316,3510,low,8970,2.43
X,136,3510,low,8970,2.43
X,265,3068,low,6610,2.19
X,245,3068,low,6610,2.19
X,305,3068,low,6610,2.19
X,225,3068,low,6610,2.19
X,285,3068,low,6610,2.19
X,45,3068,low,6610,2.19
X,5,3068,low,6610,2.19
X,185,3068,low,6610,2.19
X,345,3068,low,6610,2.19
X,165,3068,low,6610,2.19
X,65,3068,low,6610,2.19
X,205,3068,low,6610,2.19
X,85,3068,low,6610,2.19
X,25,3068,low,6610,2.19
X,325,3068,low,6610,2.19
X,145,3068,low,6610,2.19
X,105,3068,low,6610,2.19
X,125,3068,low,6610,2.19
X,102,3789,low,6610,2.19
X,342,3789,low,6610,2.19
X,162,3789,low,6610,2.19
X,82,3789,low,6610,2.19
X,202,3789,low,6610,2.19
X,222,3789,low,6610,2.19
X,22,3789,low,6610,2.19
X,302,3789,low,6610,2.19
X,2,3789,low,6610,2.19
X,322,3789,low,6610,2.19
X,282,3789,low,6610,2.19
X,182,3789,low,6610,2.19
X,42,3789,low,6610,2.19
X,242,3789,low,6610,2.19
X,62,3789,low,6610,2.19
X,262,3789,low,6610,2.19
X,142,3789,low,6610,2.19
X,122,3789,low,6610,2.19
AE,179,4814,high,6610,2.19
AE,159,4814,high,6610,2.19
AE,139,4814,high,6610,2.19
AE,39,4814,high,6610,2.19
AE,359,4814,high,6610,2.19
AE,279,4814,high,6610,2.19
AE,339,4814,high,6610,2.19
AE,59,4814,high,6610,2.19
AE,19,4814,high,6610,2.19
AE,99,4814,high,6610,2.19
AE,299,4814,high,6610,2.19
AE,219,4814,high,6610,2.19
AE,199,4814,high,6610,2.19
AE,119,4814,high,6610,2.19
AE,319,4814,high,6610,2.19
AE,239,4814,high,6610,2.19
AE,79,4814,high,6610,2.19
AE,259,4814,high,6610,2.19
AE,150,4883,high,6610,2.19
AE,250,4883,high,6610,2.19
AE,190,4883,high,6610,2.19
AE,270,4883,high,6610,2.19
AE,110,4883,high,6610,2.19
AE,350,4883,high,6610,2.19
AE,90,4883,high,6610,2.19
AE,130,4883,high,6610,2.19
AE,210,4883,high,6610,2.19
AE,290,4883,high,6610,2.19
AE,50,4883,high,6610,2.19
AE,230,4883,high,6610,2.19
AE,330,4883,high,6610,2.19
AE,170,4883,high,6610,2.19
AE,310,4883,high,6610,2.19
AE,30,4883,high,6610,2.19
AE,70,4883,high,6610,2.19
AE,10,4883,high,6610,2.19
X,150,4883,low,6610,2.19
X,90,4883,low,6610,2.19
X,30,4883,low,6610,2.19
X,190,4883,low,6610,2.19
X,310,4883,low,6610,2.19
X,330,4883,low,6610,2.19
X,250,4883,low,6610,2.19
X,170,4883,low,6610,2.19
X,210,4883,low,6610,2.19
X,350,4883,low,6610,2.19
X,110,4883,low,6610,2.19
X,290,4883,low,6610,2.19
X,230,4883,low,6610,2.19
X,50,4883,low,6610,2.19
X,270,4883,low,6610,2.19
X,70,4883,low,6610,2.19
X,10,4883,low,6610,2.19
X,130,4883,low,6610,2.19
A,174,4303,high,6610,2.19
A,254,4303,high,6610,2.19
A,214,4303,high,6610,2.19
A,194,4303,high,6610,2.19
A,274,4303,high,6610,2.19
A,154,4303,high,6610,2.19
A,54,4303,high,6610,2.19
A,334,4303,high,6610,2.19
A,114,4303,high,6610,2.19
A,74,4303,high,6610,2.19
A,354,4303,high,6610,2.19
A,294,4303,high,6610,2.19
A,234,4303,high,6610,2.19
A,14,4303,high,6610,2.19
A,34,4303,high,6610,2.19
A,94,4303,high,6610,2.19
A,134,4303,high,6610,2.19
A,314,4303,high,6610,2.19
A,315,3573,high,6610,2.19
A,335,3573,high,6610,2.19
A,235,3573,high,6610,2.19
A,155,3573,high,6610,2.19
A,15,3573,high,6610,2.19
A,275,3573,high,6610,2.19
A,255,3573,high,6610,2.19
A,295,3573,high,6610,2.19
A,55,3573,high,6610,2.19
A,355,3573,high,6610,2.19
A,195,3573,high,6610,2.19
A,215,3573,high,6610,2.19
A,115,3573,high,6610,2.19
A,35,3573,high,6610,2.19
A,95,3573,high,6610,2.19
A,75,3573,high,6610,2.19
A,135,3573,high,6610,2.19
A,175,3573,high,6610,2.19
X,204,5270,low,6610,2.19
X,104,5270,low,6610,2.19
X,124,5270,low,6610,2.19
X,84,5270,low,6610,2.19
X,244,5270,low,6610,2.19
X,164,5270,low,6610,2.19
X,24,5270,low,6610,2.19
X,324,5270,low,6610,2.19
X,304,5270,low,6610,2.19
X,184,5270,low,6610,2.19
X,44,5270,low,6610,2.19
X,284,5270,low,6610,2.19
X,4,5270,low,6610,2.19
X,344,5270,low,6610,2.19
X,264,5270,low,6610,2.19
X,144,5270,low,6610,2.19
X,64,5270,low,6610,2.19
X,224,5270,low,6610,2.19
AE,176,3510,high,8970,2.43
AE,276,3510,high,8970,2.43
AE,156,3510,high,8970,2.43
AE,296,3510,high,8970,2.43
AE,16,3510,high,8970,2.43
AE,356,3510,high,8970,2.43
AE,316,3510,high,8970,2.43
AE,56,3510,high,8970,2.43
AE,36,3510,high,8970,2.43
AE,236,3510,high,8970,2.43
AE,76,3510,high,8970,2.43
AE,256,3510,high,8970,2.43
AE,96,3510,high,8970,2.43
AE,336,3510,high,8970,2.43
AE,196,3510,high,8970,2.43
AE,136,3510,high,8970,2.43
AE,216,3510,high,8970,2.43
AE,116,3510,high,8970,2.43
AE,353,6809,high,6610,2.19
AE,53,6809,high,6610,2.19
AE,293,6809,high,6610,2.19
AE,33,6809,high,6610,2.19
AE,333,6809,high,6610,2.19
AE,193,6809,high,6610,2.19
AE,153,6809,high,6610,2.19
AE,13,6809,high,6610,2.19
AE,233,6809,high,6610,2.19
AE,73,6809,high,6610,2.19
AE,253,6809,high,6610,2.19
AE,113,6809,high,6610,2.19
AE,273,6809,high,6610,2.19
AE,173,6809,high,6610,2.19
AE,313,6809,high,6610,2.19
AE,133,6809,high,6610,2.19
AE,213,6809,high,6610,2.19
AE,93,6809,high,6610,2.19
X,329,3322,low,6610,2.19
X,209,3322,low,6610,2.19
X,229,3322,low,6610,2.19
X,29,3322,low,6610,2.19
X,49,3322,low,6610,2.19
X,9,3322,low,6610,2.19
X,149,3322,low,6610,2.19
X,309,3322,low,6610,2.19
X,189,3322,low,6610,2.19
X,69,3322,low,6610,2.19
X,269,3322,low,6610,2.19
X,109,3322,low,6610,2.19
X,169,3322,low,6610,2.19
X,249,3322,low,6610,2.19
X,289,3322,low,6610,2.19
X,89,3322,low,6610,2.19
X,349,3322,low,6610,2.19
X,129,3322,low,6610,2.19
AE,182,3789,high,6610,2.19
AE,202,3789,high,6610,2.19
AE,122,3789,high,6610,2.19
AE,302,3789,high,6610,2.19
AE,82,3789,high,6610,2.19
AE,282,3789,high,6610,2.19
AE,102,3789,high,6610,2.19
AE,22,3789,high,6610,2.19
AE,322,3789,high,6610,2.19
AE,262,3789,high,6610,2.19
AE,42,3789,high,6610,2.19
AE,222,3789,high,6610,2.19
AE,242,3789,high,6610,2.19
AE,62,3789,high,6610,2.19
AE,342,3789,high,6610,2.19
AE,142,3789,high,6610,2.19
AE,162,3789,high,6610,2.19
AE,2,3789,high,6610,2.19
D,235,3573,unknown,6610,2.19
D,55,3573,unknown,6610,2.19
D,255,3573,unknown,6610,2.19
D,275,3573,unknown,6610,2.19
D,15,3573,unknown,6610,2.19
D,335,3573,unknown,6610,2.19
D,295,3573,unknown,6610,2.19
D,215,3573,unknown,6610,2.19
D,35,3573,unknown,6610,2.19
D,195,3573,unknown,6610,2.19
D,175,3573,unknown,6610,2.19
D,95,3573,unknown,6610,2.19
D,315,3573,unknown,6610,2.19
D,75,3573,unknown,6610,2.19
D,355,3573,unknown,6610,2.19
D,155,3573,unknown,6610,2.19
D,135,3573,unknown,6610,2.19
D,115,3573,unknown,6610,2.19
X,307,2790,low,6610,2.19
X,7,2790,low,6610,2.19
X,267,2790,low,6610,2.19
X,347,2790,low,6610,2.19
X,167,2790,low,6610,2.19
X,187,2790,low,6610,2.19
X,327,2790,low,6610,2.19
X,27,2790,low,6610,2.19
X,227,2790,low,6610,2.19
X,67,2790,low,6610,2.19
X,287,2790,low,6610,2.19
X,207,2790,low,6610,2.19
X,47,2790,low,6610,2.19
X,247,2790,low,6610,2.19
X,147,2790,low,6610,2.19
X,107,2790,low,6610,2.19
X,87,2790,low,6610,2.19
X,127,2790,low,6610,2.19
AE,38,5195,high,6610,2.19
AE,338,5195,high,6610,2.19
AE,118,5195,high,6610,2.19
AE,158,5195,high,6610,2.19
AE,218,5195,high,6610,2.19
AE,298,5195,high,6610,2.19
AE,138,5195,high,6610,2.19
AE,318,5195,high,6610,2.19
AE,278,5195,high,6610,2.19
AE,78,5195,high,6610,2.19
AE,198,5195,high,6610,2.19
AE,18,5195,high,6610,2.19
AE,258,5195,high,6610,2.19
AE,238,5195,high,6610,2.19
AE,178,5195,high,6610,2.19
AE,58,5195,high,6610,2.19
AE,358,5195,high,6610,2.19
AE,98,5195,high,6610,2.19
AE,192,6839,high,6610,2.19
AE,332,6839,high,6610,2.19
AE,352,6839,high,6610,2.19
AE,132,6839,high,6610,2.19
AE,32,6839,high,6610,2.19
AE,112,6839,high,6610,2.19
AE,152,6839,high,6610,2.19
AE,12,6839,high,6610,2.19
AE,72,6839,high,6610,2.19
AE,232,6839,high,6610,2.19
AE,252,6839,high,6610,2.19
AE,212,6839,high,6610,2.19
AE,312,6839,high,6610,2.19
AE,172,6839,high,6610,2.19
AE,52,6839,high,6610,2.19
AE,292,6839,high,6610,2.19
AE,272,6839,high,6610,2.19
AE,92,6839,high,6610,2.19
AE,140,2699,high,6610,2.19
AE,100,2699,high,6610,2.19
AE,180,2699,high,6610,2.19
AE,260,2699,high,6610,2.19
AE,280,2699,high,6610,2.19
AE,320,2699,high,6610,2.19
AE,200,2699,high,6610,2.19
AE,220,2699,high,6610,2.19
AE,0,2699,high,6610,2.19
AE,60,2699,high,6610,2.19
AE,120,2699,high,6610,2.19
AE,160,2699,high,6610,2.19
AE,80,2699,high,6610,2.19
AE,20,2699,high,6610,2.19
AE,340,2699,high,6610,2.19
AE,300,2699,high,6610,2.19
AE,40,2699,high,6610,2.19
AE,240,2699,high,6610,2.19
AE,161,1968,high,6610,2.19
AE,1,1968,high,6610,2.19
AE,261,1968,high,6610,2.19
AE,281,1968,high,6610,2.19
AE,241,1968,high,6610,2.19
AE,21,1968,high,6610,2.19
AE,321,1968,high,6610,2.19
AE,221,1968,high,6610,2.19
AE,61,1968,high,6610,2.19
AE,41,1968,high,6610,2.19
AE,341,1968,high,6610,2.19
AE,201,1968,high,6610,2.19
AE,101,1968,high,6610,2.19
AE,81,1968,high,6610,2.19
AE,301,1968,high,6610,2.19
AE,141,1968,high,6610,2.19
AE,181,1968,high,6610,2.19
AE,121,1968,high,6610,2.19
AE,245,3068,high,6610,2.19
AE,225,3068,high,6610,2.19
AE,65,3068,high,6610,2.19
AE,305,3068,high,6610,2.19
AE,265,3068,high,6610,2.19
AE,345,3068,high,6610,2.19
AE,165,3068,high,6610,2.19
AE,145,3068,high,6610,2.19
AE,5,3068,high,6610,2.19
AE,285,3068,high,6610,2.19
AE,85,3068,high,6610,2.19
AE,105,3068,high,6610,2.19
AE,205,3068,high,6610,2.19
AE,25,3068,high,6610,2.19
AE,325,3068,high,6610,2.19
AE,125,3068,high,6610,2.19
AE,45,3068,high,6610,2.19
AE,185,3068,high,6610,2.19
AO,274,4303,high,6610,2.19
AO,154,4303,high,6610,2.19
AO,74,4303,high,6610,2.19
AO,314,4303,high,6610,2.19
AO,34,4303,high,6610,2.19
AO,354,4303,high,6610,2.19
AO,254,4303,high,6610,2.19
AO,54,4303,high,6610,2.19
AO,334,4303,high,6610,2.19
AO,294,4303,high,6610,2.19
AO,14,4303,high,6610,2.19
AO,234,4303,high,6610,2.19
AO,114,4303,high,6610,2.19
AO,94,4303,high,6610,2.19
AO,134,4303,high,6610,2.19
AO,174,4303,high,6610,2.19
AO,214,4303,high,6610,2.19
AO,194,4303,high,6610,2.19
D,94,4303,unknown,6610,2.19
D,314,4303,unknown,6610,2.19
D,194,4303,unknown,6610,2.19
D,274,4303,unknown,6610,2.19
D,54,4303,unknown,6610,2.19
D,254,4303,unknown,6610,2.19
D,334,4303,unknown,6610,2.19
D,354,4303,unknown,6610,2.19
D,14,4303,unknown,6610,2.19
D,214,4303,unknown,6610,2.19
D,294,4303,unknown,6610,2.19
D,154,4303,unknown,6610,2.19
D,134,4303,unknown,6610,2.19
D,74,4303,unknown,6610,2.19
D,174,4303,unknown,6610,2.19
D,114,4303,unknown,6610,2.19
D,234,4303,unknown,6610,2.19
D,34,4303,unknown,6610,2.19
AE,263,4391,high,6610,2.19
AE,223,4391,high,6610,2.19
AE,323,4391,high,6610,2.19
AE,43,4391,high,6610,2.19
AE,183,4391,high,6610,2.19
AE,23,4391,high,6610,2.19
AE,63,4391,high,6610,2.19
AE,343,4391,high,6610,2.19
AE,83,4391,high,6610,2.19
AE,143,4391,high,6610,2.19
AE,243,4391,high,6610,2.19
AE,283,4391,high,6610,2.19
AE,123,4391,high,6610,2.19
AE,3,4391,high,6610,2.19
AE,103,4391,high,6610,2.19
AE,303,4391,high,6610,2.19
AE,203,4391,high,6610,2.19
AE,163,4391,high,6610,2.19
AE,184,5270,high,6610,2.19
AE,84,5270,high,6610,2.19
AE,4,5270,high,6610,2.19
AE,144,5270,high,6610,2.19
AE,204,5270,high,6610,2.19
AE,244,5270,high,6610,2.19
AE,24,5270,high,6610,2.19
AE,324,5270,high,6610,2.19
AE,44,5270,high,6610,2.19
AE,104,5270,high,6610,2.19
AE,124,5270,high,6610,2.19
AE,264,5270,high,6610,2.19
AE,284,5270,high,6610,2.19
AE,344,5270,high,6610,2.19
AE,64,5270,high,6610,2.19
AE,164,5270,high,6610,2.19
AE,304,5270,high,6610,2.19
AE,224,5270,high,6610,2.19
AO,295,3573,high,6610,2.19
AO,235,3573,high,6610,2.19
AO,35,3573,high,6610,2.19
AO,15,3573,high,6610,2.19
AO,115,3573,high,6610,2.19
AO,175,3573,high,6610,2.19
AO,55,3573,high,6610,2.19
AO,195,3573,high,6610,2.19
AO,255,3573,high,6610,2.19
AO,275,3573,high,6610,2.19
AO,315,3573,high,6610,2.19
AO,75,3573,high,6610,2.19
AO,155,3573,high,6610,2.19
AO,355,3573,high,6610,2.19
AO,335,3573,high,6610,2.19
AO,135,3573,high,6610,2.19
AO,215,3573,high,6610,2.19
AO,95,3573,high,6610,2.19
AE,109,3322,high,6610,2.19
AE,329,3322,high,6610,2.19
AE,189,3322,high,6610,2.19
AE,249,3322,high,6610,2.19
AE,69,3322,high,6610,2.19
AE,309,3322,high,6610,2.19
AE,169,3322,high,6610,2.19
AE,349,3322,high,6610,2.19
AE,129,3322,high,6610,2.19
AE,209,3322,high,6610,2.19
AE,49,3322,high,6610,2.19
AE,89,3322,high,6610,2.19
AE,9,3322,high,6610,2.19
AE,289,3322,high,6610,2.19
AE,229,3322,high,6610,2.19
AE,149,3322,high,6610,2.19
AE,269,3322,high,6610,2.19
AE,29,3322,high,6610,2.19
AO,10,4883,high,6610,2.19
AO,330,4883,high,6610,2.19
AO,30,4883,high,6610,2.19
AO,270,4883,high,6610,2.19
AO,130,4883,high,6610,2.19
AO,230,4883,high,6610,2.19
AO,210,4883,high,6610,2.19
AO,250,4883,high,6610,2.19
AO,350,4883,high,6610,2.19
AO,310,4883,high,6610,2.19
AO,170,4883,high,6610,2.19
AO,70,4883,high,6610,2.19
AO,290,4883,high,6610,2.19
AO,90,4883,high,6610,2.19
AO,110,4883,high,6610,2.19
AO,50,4883,high,6610,2.19
AO,190,4883,high,6610,2.19
AO,150,4883,high,6610,2.19
AE,214,4303,high,6610,2.19
AE,34,4303,high,6610,2.19
AE,134,4303,high,6610,2.19
AE,54,4303,high,6610,2.19
AE,194,4303,high,6610,2.19
AE,354,4303,high,6610,2.19
AE,154,4303,high,6610,2.19
AE,114,4303,high,6610,2.19
AE,254,4303,high,6610,2.19
AE,334,4303,high,6610,2.19
AE,174,4303,high,6610,2.19
AE,294,4303,high,6610,2.19
AE,74,4303,high,6610,2.19
AE,274,4303,high,6610,2.19
AE,234,4303,high,6610,2.19
AE,94,4303,high,6610,2.19
AE,14,4303,high,6610,2.19
AE,314,4303,high,6610,2.19
AE,126,9017,high,6610,2.19
AE,186,9017,high,6610,2.19
AE,266,9017,high,6610,2.19
AE,226,9017,high,6610,2.19
AE,286,9017,high,6610,2.19
AE,26,9017,high,6610,2.19
AE,346,9017,high,6610,2.19
AE,306,9017,high,6610,2.19
AE,166,9017,high,6610,2.19
AE,86,9017,high,6610,2.19
AE,46,9017,high,6610,2.19
AE,206,9017,high,6610,2.19
AE,66,9017,high,6610,2.19
AE,6,9017,high,6610,2.19
AE,146,9017,high,6610,2.19
AE,106,9017,high,6610,2.19
AE,326,9017,high,6610,2.19
AE,246,9017,high,6610,2.19
AE,188,5604,high,6610,2.19
AE,308,5604,high,6610,2.19
AE,248,5604,high,6610,2.19
AE,328,5604,high,6610,2.19
AE,48,5604,high,6610,2.19
AE,148,5604,high,6610,2.19
AE,348,5604,high,6610,2.19
AE,268,5604,high,6610,2.19
AE,108,5604,high,6610,2.19
AE,168,5604,high,6610,2.19
AE,28,5604,high,6610,2.19
AE,288,5604,high,6610,2.19
AE,128,5604,high,6610,2.19
AE,88,5604,high,6610,2.19
AE,8,5604,high,6610,2.19
AE,208,5604,high,6610,2.19
AE,68,5604,high,6610,2.19
AE,228,5604,high,6610,2.19
A,133,6809,high,6610,2.19
A,273,6809,high,6610,2.19
A,193,6809,high,6610,2.19
A,313,6809,high,6610,2.19
A,73,6809,high,6610,2.19
A,53,6809,high,6610,2.19
A,213,6809,high,6610,2.19
A,13,6809,high,6610,2.19
A,233,6809,high,6610,2.19
A,253,6809,high,6610,2.19
